期號,開獎日期,球1,球2,球3,球4,球5
102077,41363,6,8,10,14,39
102078,41365,2,3,12,25,31
102079,41366,6,8,25,26,27
102080,41367,11,14,16,21,33
102081,41368,2,3,14,19,22
102082,41369,1,3,27,31,32
102083,41370,11,14,16,30,37
102084,41372,2,14,17,27,31
102085,41373,6,18,30,35,36
102086,41374,2,5,15,18,20
102087,41375,12,15,16,20,31
102088,41376,1,9,11,18,34
102089,41377,2,10,16,27,31
102090,41379,1,12,17,25,28
102091,41380,9,11,31,36,37
102092,41381,3,4,18,25,37
102093,41382,14,17,20,32,39
102094,41383,7,10,21,28,37
102095,41384,3,5,6,13,31
102096,41386,1,3,10,21,34
102097,41387,24,31,35,37,38
102098,41388,9,23,28,31,37
102099,41389,4,9,19,25,34
102100,41390,4,11,20,28,35
102101,41391,8,14,26,36,38
102102,41393,6,8,18,25,37
102103,41394,2,3,4,15,16
102104,41395,3,15,16,34,37
102105,41396,6,10,12,18,34
102106,41397,11,13,16,21,34
102107,41398,6,14,22,25,33
102108,41400,5,25,31,36,37
102109,41401,6,20,22,33,38
102110,41402,2,22,24,37,39
102111,41403,2,26,33,34,39
102112,41404,2,8,16,22,35
102113,41405,3,6,10,22,28
102114,41407,2,4,10,19,27
102115,41408,14,17,24,27,30
102116,41409,6,22,26,34,37
102117,41410,6,17,24,29,36
102118,41411,8,18,20,30,36
102119,41412,1,9,16,18,29
102120,41414,5,6,10,22,24
102121,41415,8,18,19,29,34
102122,41416,7,11,22,30,36
102123,41417,5,14,21,32,35
102124,41418,2,11,12,22,31
102125,41419,6,7,15,20,38
102126,41421,12,14,22,25,34
102127,41422,23,34,35,36,37
102128,41423,19,21,22,32,39
102129,41424,7,19,21,30,39
102130,41425,9,27,30,31,32
102131,41426,4,14,22,32,38
102132,41428,1,6,11,30,37
102133,41429,3,10,18,34,39
102134,41430,2,15,22,33,36
102135,41431,7,9,21,31,33
102136,41432,8,10,11,20,21
102137,41433,4,8,12,20,21
102138,41435,1,2,10,35,36
102139,41436,6,10,21,25,30
102140,41437,1,6,34,37,39
102141,41438,13,20,22,36,37
102142,41439,13,24,33,34,39
102143,41440,13,14,20,24,33
102144,41442,6,9,12,24,38
102145,41443,3,7,10,36,39
102146,41444,3,6,21,23,39
102147,41445,6,20,23,24,28
102148,41446,1,12,15,19,32
102149,41447,10,18,20,36,37
102150,41449,2,9,13,20,39
102151,41450,7,14,18,26,32
102152,41451,2,8,14,31,35
102153,41452,1,19,20,25,36
102154,41453,3,9,12,19,23
102155,41454,6,15,26,34,36
102156,41456,11,17,25,33,37
102157,41457,13,20,22,26,34
102158,41458,2,3,4,10,12
102159,41459,1,14,19,24,31
102160,41460,9,10,20,25,26
102161,41461,1,6,20,33,34
102162,41463,1,22,24,32,37
102163,41464,14,21,22,31,34
102164,41465,17,24,25,35,36
102165,41466,4,7,16,17,20
102166,41467,22,27,30,35,37
102167,41468,1,4,6,23,30
102168,41470,10,14,16,22,36
102169,41471,2,4,6,15,39
102170,41472,1,2,15,31,39
102171,41473,3,7,11,21,33
102172,41474,10,14,18,25,36
102173,41475,21,26,30,33,39
102174,41477,3,15,22,35,39
102175,41478,5,15,21,22,34
102176,41479,1,4,23,26,34
102177,41480,1,6,17,21,33
102178,41481,4,5,8,18,39
102179,41482,11,14,23,30,39
102180,41484,14,19,27,33,37
102181,41485,9,14,19,27,31
102182,41486,7,9,24,27,28
102183,41487,9,21,27,31,32
102184,41488,17,22,23,33,37
102185,41489,6,21,26,36,39
102186,41491,9,15,26,27,34
102187,41492,12,18,19,24,36
102188,41493,7,16,27,30,39
102189,41494,1,3,12,16,25
102190,41495,1,5,8,28,34
102191,41496,2,9,11,19,35
102192,41498,22,25,30,31,36
102193,41499,4,10,17,18,25
102194,41500,1,4,7,8,23
102195,41501,1,2,8,28,36
102196,41502,1,6,13,22,29
102197,41503,2,21,29,34,38
102198,41505,11,21,25,31,33
102199,41506,19,25,28,30,31
102200,41507,11,15,26,31,34
102201,41508,6,10,11,13,28
102202,41509,3,14,25,37,39
102203,41510,1,19,26,27,39
102204,41512,19,22,24,29,36
102205,41513,11,15,26,34,39
102206,41514,1,2,5,24,27
102207,41515,2,5,8,25,34
102208,41516,7,18,20,21,37
102209,41517,5,14,17,20,36
102210,41519,15,20,21,30,31
102211,41520,2,4,8,20,34
102212,41521,12,21,31,34,37
102213,41522,4,7,13,25,37
102214,41523,6,9,17,24,34
102215,41524,8,14,19,25,39
102216,41526,3,6,23,29,38
102217,41527,2,16,21,22,29
102218,41528,9,16,17,34,35
102219,41529,12,15,18,23,27
102220,41530,2,8,24,26,39
102221,41531,9,14,16,27,37
102222,41533,3,13,19,30,34
102223,41534,2,3,15,22,25
102224,41535,14,15,17,29,38
102225,41536,7,16,20,31,36
102226,41537,1,15,23,32,39
102227,41538,11,15,22,23,39
102228,41540,1,21,22,35,38
102229,41541,1,3,5,21,28
102230,41542,8,9,10,18,39
102231,41543,9,17,29,37,39
102232,41544,2,3,27,28,36
102233,41545,5,13,14,23,26
102234,41547,9,16,17,24,31
102235,41548,5,6,20,29,38
102236,41549,3,5,20,23,36
102237,41550,5,8,13,20,22
102238,41551,2,14,20,25,35
102239,41552,7,16,25,37,38
102240,41554,3,18,24,30,39
102241,41555,7,15,22,26,28
102242,41556,19,22,24,32,35
102243,41557,16,19,20,25,36
102244,41558,3,18,21,38,39
102245,41559,7,13,23,26,28
102246,41561,7,16,30,32,35
102247,41562,4,8,12,31,32
102248,41563,1,7,20,26,38
102249,41564,5,7,14,16,37
102250,41565,6,14,28,29,38
102251,41566,1,20,23,25,38
102252,41568,4,14,29,37,39
102253,41569,4,20,29,30,38
102254,41570,9,16,25,35,36
102255,41571,14,20,31,33,36
102256,41572,4,14,22,33,35
102257,41573,9,11,16,27,33
102258,41575,9,15,17,19,33
102259,41576,9,15,24,28,29
102260,41577,9,32,34,38,39
102261,41578,4,18,26,29,36
102262,41579,9,13,23,24,30
102263,41580,12,21,26,29,32
102264,41582,4,17,22,26,31
102265,41583,5,7,16,35,37
102266,41584,3,14,18,22,33
102267,41585,10,13,19,34,38
102268,41586,14,15,21,34,39
102269,41587,22,24,27,36,39
102270,41589,1,5,19,21,29
102271,41590,3,13,19,29,31
102272,41591,17,29,32,33,38
102273,41592,6,13,15,18,20
102274,41593,3,8,13,33,37
102275,41594,2,7,11,17,27
102276,41596,1,3,6,8,15
102277,41597,15,22,31,38,39
102278,41598,13,17,21,33,35
102279,41599,7,11,20,35,38
102280,41600,4,5,16,30,39
102281,41601,17,23,32,35,37
102282,41603,6,18,20,23,33
102283,41604,9,22,31,32,34
102284,41605,4,15,27,37,39
102285,41606,1,8,10,19,37
102286,41607,16,21,22,30,39
102287,41608,14,16,18,21,26
102288,41610,8,30,34,35,36
102289,41611,5,6,18,19,29
102290,41612,18,26,32,33,37
102291,41613,4,9,21,24,34
102292,41614,4,20,29,31,32
102293,41615,18,19,22,24,28
102294,41617,5,11,15,24,33
102295,41618,4,12,26,29,30
102296,41619,4,6,18,25,38
102297,41620,3,16,20,21,30
102298,41621,15,18,19,29,32
102299,41622,20,31,32,33,39
102300,41624,17,32,33,35,38
102301,41625,6,14,20,26,35
102302,41626,2,4,15,27,34
102303,41627,15,18,20,32,39
102304,41628,7,13,22,28,32
102305,41629,3,5,19,29,37
102306,41631,18,20,27,31,35
102307,41632,8,12,15,16,27
102308,41633,3,4,17,33,39
102309,41634,12,20,26,27,31
102310,41635,9,11,16,17,35
102311,41636,5,8,13,20,26
102312,41638,1,5,12,16,33
102313,41639,16,19,30,36,38
103001,41640,5,13,24,26,34
103002,41641,8,14,19,27,30
103003,41642,10,27,28,32,37
103004,41643,5,14,19,25,39
103005,41645,13,16,17,31,38
103006,41646,5,6,10,19,23
103007,41647,4,6,17,28,33
103008,41648,6,15,17,27,33
103009,41649,8,13,16,26,39
103010,41650,6,8,10,19,32
103011,41652,10,11,13,35,38
103012,41653,9,16,17,21,34
103013,41654,3,18,30,31,36
103014,41655,5,8,9,14,23
103015,41656,22,24,31,32,37
103016,41657,2,7,15,21,38
103017,41659,14,21,31,34,38
103018,41660,4,7,11,21,27
103019,41661,19,24,25,29,31
103020,41662,5,8,16,21,30
103021,41663,3,21,34,37,38
103022,41664,2,20,30,31,38
103023,41666,26,27,28,30,38
103024,41667,2,5,10,15,19
103025,41668,17,19,25,37,38
103026,41669,17,21,23,24,34
103027,41670,8,19,23,24,35
103028,41671,21,28,29,31,37
103029,41673,3,8,16,22,33
103030,41674,11,18,21,33,37
103031,41675,28,29,36,38,39
103032,41676,2,7,20,30,36
103033,41677,5,13,19,32,38
103034,41678,2,10,21,22,33
103035,41680,6,9,11,14,28
103036,41681,11,13,20,21,28
103037,41682,11,13,15,16,29
103038,41683,4,5,6,32,33
103039,41684,3,8,11,21,37
103040,41685,4,7,14,21,22
103041,41687,1,6,10,16,34
103042,41688,13,16,30,32,38
103043,41689,2,5,8,17,34
103044,41690,4,5,15,16,19
103045,41691,6,7,8,10,37
103046,41692,13,17,27,37,38
103047,41694,12,13,27,33,39
103048,41695,3,4,7,12,22
103049,41696,6,17,21,35,38
103050,41697,3,30,31,37,38
103051,41698,3,20,23,24,26
103052,41699,5,12,16,30,36
103053,41701,19,25,26,30,38
103054,41702,1,2,7,17,25
103055,41703,1,4,12,13,36
103056,41704,15,16,22,31,35
103057,41705,5,16,22,23,38
103058,41706,9,17,18,22,23
103059,41708,2,13,22,34,35
103060,41709,13,23,25,31,38
103061,41710,14,19,29,31,38
103062,41711,6,17,24,27,33
103063,41712,1,14,15,36,38
103064,41713,6,7,23,25,31
103065,41715,1,4,10,23,39
103066,41716,12,14,16,18,35
103067,41717,2,7,11,12,37
103068,41718,1,7,17,24,34
103069,41719,3,8,9,14,39
103070,41720,8,21,23,26,38
103071,41722,5,17,27,36,39
103072,41723,2,6,11,35,38
103073,41724,2,17,24,34,37
103074,41725,1,2,7,8,14
103075,41726,1,2,9,11,39
103076,41727,11,24,26,29,35
103077,41729,2,22,23,34,35
103078,41730,1,10,14,17,34
103079,41731,4,7,11,20,38
103080,41732,1,3,12,28,31
103081,41733,6,9,20,24,34
103082,41734,4,12,21,25,30
103083,41736,5,9,11,31,39
103084,41737,16,19,20,34,35
103085,41738,7,9,12,16,31
103086,41739,7,17,20,24,31
103087,41740,8,11,13,16,21
103088,41741,14,18,25,34,38
103089,41743,5,6,15,24,37
103090,41744,6,9,14,15,36
103091,41745,1,3,12,29,33
103092,41746,4,14,18,28,29
103093,41747,19,27,29,37,38
103094,41748,4,13,35,36,37
103095,41750,19,20,27,29,33
103096,41751,4,9,25,30,39
103097,41752,7,14,16,26,33
103098,41753,4,7,16,17,35
103099,41754,5,7,33,38,39
103100,41755,8,15,23,24,33
103101,41757,3,17,19,22,38
103102,41758,3,8,21,25,33
103103,41759,5,6,23,26,29
103104,41760,10,17,22,34,39
103105,41761,1,8,11,14,38
103106,41762,3,13,14,23,37
103107,41764,4,8,13,21,37
103108,41765,5,6,23,24,39
103109,41766,12,19,21,36,39
103110,41767,1,9,27,28,36
103111,41768,5,25,34,36,39
103112,41769,1,8,17,36,37
103113,41771,6,9,11,14,24
103114,41772,5,6,12,16,31
103115,41773,3,14,18,28,38
103116,41774,6,13,21,34,35
103117,41775,7,9,28,31,33
103118,41776,3,13,17,25,37
103119,41778,7,8,18,19,27
103120,41779,12,19,30,32,35
103121,41780,5,7,11,20,29
103122,41781,10,13,29,31,32
103123,41782,5,16,18,20,21
103124,41783,2,16,27,37,38
103125,41785,2,5,12,19,38
103126,41786,13,27,31,35,39
103127,41787,2,8,12,20,27
103128,41788,7,22,23,25,28
103129,41789,1,7,15,18,31
103130,41790,9,12,16,26,31
103131,41792,11,13,26,34,36
103132,41793,1,3,26,38,39
103133,41794,4,10,13,29,32
103134,41795,12,18,24,28,38
103135,41796,5,7,18,30,34
103136,41797,4,18,26,27,30
103137,41799,1,7,16,17,32
103138,41800,14,15,16,29,31
103139,41801,1,11,13,17,31
103140,41802,4,12,14,34,35
103141,41803,12,19,35,37,38
103142,41804,11,20,23,37,38
103143,41806,2,14,16,36,39
103144,41807,5,12,13,22,36
103145,41808,4,12,17,23,25
103146,41809,1,19,30,34,39
103147,41810,4,10,16,24,25
103148,41811,2,4,18,20,29
103149,41813,5,12,19,34,36
103150,41814,2,15,27,28,38
103151,41815,4,13,14,30,31
103152,41816,2,10,11,12,30
103153,41817,25,32,35,36,39
103154,41818,2,6,10,20,30
103155,41820,6,13,30,34,39
103156,41821,13,23,28,29,31
103157,41822,8,10,26,34,37
103158,41823,2,16,19,23,28
103159,41824,4,9,22,32,35
103160,41825,9,13,17,18,33
103161,41827,2,13,15,29,35
103162,41828,9,11,13,19,30
103163,41829,1,15,16,17,35
103164,41830,3,13,20,27,32
103165,41831,3,23,25,34,37
103166,41832,5,21,32,33,35
103167,41834,5,10,15,17,26
103168,41835,14,19,25,27,28
103169,41836,14,18,21,26,32
103170,41837,3,9,11,14,34
103171,41838,5,9,25,34,36
103172,41839,3,15,18,27,35
103173,41841,1,7,13,19,37
103174,41842,6,27,28,35,38
103175,41843,2,7,11,12,34
103176,41844,3,10,13,25,39
103177,41845,2,10,17,20,29
103178,41846,2,5,12,17,33
103179,41848,7,11,25,26,28
103180,41849,2,4,26,32,35
103181,41850,12,23,28,37,39
103182,41851,1,6,20,24,33
103183,41852,5,9,16,18,31
103184,41853,5,15,24,26,29
103185,41855,10,12,20,23,27
103186,41856,1,11,16,32,39
103187,41857,6,8,11,15,38
103188,41858,10,17,18,37,39
103189,41859,8,18,27,31,34
103190,41860,13,20,25,28,30
103191,41862,5,18,20,28,38
103192,41863,3,14,23,24,37
103193,41864,12,16,23,30,32
103194,41865,19,21,29,32,34
103195,41866,3,7,12,20,39
103196,41867,6,10,16,22,26
103197,41869,9,18,19,20,35
103198,41870,12,15,32,34,38
103199,41871,9,15,26,37,39
103200,41872,10,23,29,34,36
103201,41873,3,4,18,37,38
103202,41874,8,9,11,17,30
103203,41876,3,10,13,23,34
103204,41877,15,19,28,36,39
103205,41878,10,17,18,23,34
103206,41879,5,10,22,24,36
103207,41880,4,5,11,16,20
103208,41881,20,23,25,26,37
103209,41883,2,11,15,25,33
103210,41884,16,19,24,31,38
103211,41885,10,17,25,33,34
103212,41886,13,14,15,27,30
103213,41887,13,15,20,32,37
103214,41888,14,18,31,34,38
103215,41890,4,17,20,30,39
103216,41891,2,7,19,25,39
103217,41892,3,10,11,16,17
103218,41893,18,20,23,32,35
103219,41894,3,13,17,20,31
103220,41895,8,24,27,31,37
103221,41897,5,13,14,16,18
103222,41898,13,17,23,35,36
103223,41899,1,10,15,26,38
103224,41900,1,15,22,23,38
103225,41901,7,10,12,18,36
103226,41902,3,13,15,27,36
103227,41904,3,4,5,7,37
103228,41905,5,7,8,9,17
103229,41906,17,28,29,30,38
103230,41907,13,14,27,28,39
103231,41908,4,26,28,38,39
103232,41909,5,12,14,15,23
103233,41911,2,3,16,22,27
103234,41912,5,8,14,27,28
103235,41913,12,17,22,37,38
103236,41914,4,17,36,37,39
103237,41915,4,5,23,35,36
103238,41916,5,14,16,22,33
103239,41918,20,21,25,27,36
103240,41919,4,5,19,20,22
103241,41920,2,5,6,17,32
103242,41921,9,13,18,23,32
103243,41922,11,19,31,35,36
103244,41923,5,6,9,10,22
103245,41925,4,14,21,27,35
103246,41926,5,14,21,33,35
103247,41927,6,9,18,29,30
103248,41928,1,12,26,29,32
103249,41929,18,19,24,35,37
103250,41930,9,14,23,31,36
103251,41932,4,9,23,32,33
103252,41933,2,6,19,22,33
103253,41934,15,19,28,29,39
103254,41935,3,5,14,18,19
103255,41936,7,12,25,33,37
103256,41937,5,10,27,31,39
103257,41939,2,3,5,23,37
103258,41940,5,10,27,29,30
103259,41941,7,15,18,20,34
103260,41942,8,9,14,31,34
103261,41943,6,11,18,27,38
103262,41944,11,17,34,36,37
103263,41946,5,12,28,29,34
103264,41947,9,11,16,36,37
103265,41948,3,8,29,34,38
103266,41949,5,13,26,27,28
103267,41950,13,17,27,34,36
103268,41951,16,20,24,26,38
103269,41953,11,19,25,37,39
103270,41954,8,13,20,30,34
103271,41955,5,6,9,12,20
103272,41956,8,21,27,30,37
103273,41957,1,4,19,22,33
103274,41958,16,21,25,27,37
103275,41960,8,16,18,19,31
103276,41961,14,19,23,25,26
103277,41962,23,27,29,32,36
103278,41963,7,11,25,30,38
103279,41964,2,24,36,37,38
103280,41965,5,9,10,22,25
103281,41967,10,18,25,26,39
103282,41968,3,8,14,32,37
103283,41969,4,5,7,15,36
103284,41970,2,14,19,20,35
103285,41971,23,26,30,34,39
103286,41972,2,16,18,23,30
103287,41974,10,12,20,27,37
103288,41975,17,19,22,24,37
103289,41976,9,20,21,23,35
103290,41977,11,16,18,19,28
103291,41978,14,16,20,25,36
103292,41979,1,14,18,32,37
103293,41981,2,8,24,27,35
103294,41982,4,9,13,21,32
103295,41983,3,11,30,33,39
103296,41984,11,13,32,33,37
103297,41985,3,17,24,36,38
103298,41986,17,22,25,35,37
103299,41988,17,20,23,26,35
103300,41989,4,21,22,24,34
103301,41990,2,4,25,26,36
103302,41991,4,5,16,23,32
103303,41992,10,15,17,22,27
103304,41993,4,15,17,21,22
103305,41995,6,8,17,27,29
103306,41996,11,18,21,30,38
103307,41997,8,19,24,33,36
103308,41998,16,21,26,28,29
103309,41999,7,27,31,33,34
103310,42000,11,16,28,32,34
103311,42002,7,19,20,26,39
103312,42003,4,5,21,24,26
103313,42004,5,19,26,30,33
104001,42005,10,11,21,26,32
104002,42006,7,9,18,28,30
104003,42007,9,14,28,31,32
104004,42009,9,10,16,24,28
104005,42010,16,19,20,26,36
104006,42011,12,13,14,36,37
104007,42012,12,15,21,26,29
104008,42013,1,8,9,11,17
104009,42014,4,12,26,31,37
104010,42016,7,15,24,34,37
104011,42017,12,13,26,33,39
104012,42018,5,12,19,30,35
104013,42019,9,11,12,17,34
104014,42020,5,9,16,28,33
104015,42021,4,13,23,32,39
104016,42023,10,12,29,37,38
104017,42024,2,14,17,28,32
104018,42025,2,16,18,32,35
104019,42026,1,11,15,24,32
104020,42027,6,7,8,10,16
104021,42028,5,7,12,13,15
104022,42030,1,2,9,10,21
104023,42031,9,16,17,21,28
104024,42032,1,5,17,27,30
104025,42033,2,6,9,10,26
104026,42034,5,13,28,29,36
104027,42035,4,6,16,35,37
104028,42037,13,17,23,29,39
104029,42038,9,17,22,23,29
104030,42039,1,13,28,35,36
104031,42040,7,10,20,23,36
104032,42041,2,14,25,30,31
104033,42042,4,6,16,21,31
104034,42044,12,25,26,28,39
104035,42045,7,15,17,22,25
104036,42046,5,6,15,23,29
104037,42047,2,7,20,25,32
104038,42048,1,4,16,23,33
104039,42049,4,5,8,20,33
104040,42051,2,14,20,27,31
104041,42052,1,4,17,22,29
104042,42053,7,12,17,25,30
104043,42054,3,12,21,26,30
104044,42055,9,10,15,19,24
104045,42056,2,15,18,26,31
104046,42058,4,23,24,25,38
104047,42059,11,12,14,23,27
104048,42060,5,11,25,26,38
104049,42061,8,18,29,36,39
104050,42062,1,12,16,30,33
104051,42063,8,9,11,23,28
104052,42065,10,15,19,23,27
104053,42066,23,32,33,35,36
104054,42067,3,11,20,29,35
104055,42068,9,20,26,31,38
104056,42069,1,2,10,11,26
104057,42070,3,16,17,31,33
104058,42072,12,16,20,28,38
104059,42073,17,26,34,36,37
104060,42074,10,15,29,33,37
104061,42075,3,13,18,21,31
104062,42076,29,30,31,32,33
104063,42077,6,11,15,38,39
104064,42079,3,15,18,19,35
104065,42080,3,16,34,37,38
104066,42081,6,21,26,27,32
104067,42082,13,31,34,35,36
104068,42083,6,10,17,22,27
104069,42084,1,5,8,10,28
104070,42086,3,7,13,16,30
104071,42087,1,3,19,26,35
104072,42088,5,7,19,32,36
104073,42089,5,11,16,23,25
104074,42090,5,9,12,27,29
104075,42091,6,11,18,21,33
104076,42093,3,12,22,26,34
104077,42094,12,20,23,30,33
104078,42095,1,2,5,7,36
104079,42096,1,18,24,28,35
104080,42097,11,12,13,33,38
104081,42098,2,9,12,18,35
104082,42100,10,12,18,21,27
104083,42101,12,23,25,26,30
104084,42102,5,11,13,22,37
104085,42103,15,20,22,30,37
104086,42104,3,9,14,18,30
104087,42105,8,17,25,33,37
104088,42107,1,3,10,12,34
104089,42108,2,9,13,34,36
104090,42109,6,17,32,33,38
104091,42110,6,7,12,14,24
104092,42111,4,12,24,36,39
104093,42112,7,18,21,30,32
104094,42114,1,5,7,14,17
104095,42115,1,5,7,13,39
104096,42116,12,16,21,34,35
104097,42117,5,9,22,31,35
104098,42118,2,17,19,29,33
104099,42119,27,29,31,37,38
104100,42121,12,13,17,22,32
104101,42122,2,12,13,16,39
104102,42123,1,7,24,29,38
104103,42124,1,5,6,15,28
104104,42125,4,5,11,13,18
104105,42126,18,21,23,35,37
104106,42128,6,11,21,25,28
104107,42129,12,17,28,30,33
104108,42130,3,15,17,23,27
104109,42131,13,17,21,23,31
104110,42132,1,14,16,33,35
104111,42133,3,10,24,26,38
104112,42135,9,12,17,18,24
104113,42136,20,26,27,38,39
104114,42137,7,9,20,23,33
104115,42138,16,17,31,36,37
104116,42139,6,16,23,28,32
104117,42140,3,4,27,31,34
104118,42142,4,16,25,26,35
104119,42143,1,2,14,16,23
104120,42144,5,6,7,12,27
104121,42145,2,5,22,24,26
104122,42146,16,17,18,27,30
104123,42147,3,23,24,27,33
104124,42149,11,12,23,28,30
104125,42150,9,21,22,35,37
104126,42151,4,6,11,36,37
104127,42152,9,16,18,26,34
104128,42153,8,10,27,35,36
104129,42154,4,17,19,24,37
104130,42156,2,10,20,28,39
104131,42157,2,5,23,32,37
104132,42158,13,18,22,29,32
104133,42159,7,10,18,19,20
104134,42160,5,17,24,29,37
104135,42161,2,6,22,26,39
104136,42163,5,23,28,31,32
104137,42164,21,26,35,38,39
104138,42165,5,29,30,32,34
104139,42166,1,17,20,26,27
104140,42167,10,16,28,30,31
104141,42168,3,4,10,14,18
104142,42170,4,27,35,37,39
104143,42171,1,21,30,38,39
104144,42172,8,13,14,16,30
104145,42173,1,14,23,30,31
104146,42174,11,12,23,24,26
104147,42175,3,13,23,32,33
104148,42177,6,12,14,29,30
104149,42178,10,14,20,26,27
104150,42179,8,14,24,29,39
104151,42180,6,8,19,26,29
104152,42181,1,4,10,33,39
104153,42182,9,12,20,30,39
104154,42184,17,22,25,31,35
104155,42185,7,10,16,26,34
104156,42186,2,3,11,28,38
104157,42187,5,11,18,19,30
104158,42188,9,14,17,25,33
104159,42189,18,23,29,33,36
104160,42191,3,14,24,33,39
104161,42192,5,23,25,28,36
104162,42193,10,12,13,34,38
104163,42194,5,23,27,29,32
104164,42195,1,2,14,15,25
104165,42196,3,6,11,16,23
104166,42198,1,14,16,24,29
104167,42199,8,15,32,33,37
104168,42200,20,26,28,34,39
104169,42201,9,21,26,37,39
104170,42202,3,8,15,23,26
104171,42203,16,21,27,36,38
104172,42205,10,31,35,37,38
104173,42206,3,11,15,18,39
104174,42207,4,14,19,20,37
104175,42208,19,29,30,31,39
104176,42209,5,19,27,28,31
104177,42210,2,9,14,17,26
104178,42212,3,5,9,13,30
104179,42213,11,12,14,29,32
104180,42214,8,21,32,33,35
104181,42215,10,18,25,28,29
104182,42216,14,16,32,36,38
104183,42217,9,10,22,27,32
104184,42219,1,15,20,21,24
104185,42220,5,10,17,29,37
104186,42221,5,10,27,30,31
104187,42222,1,9,18,27,39
104188,42223,2,4,23,25,36
104189,42224,6,10,11,20,39
104190,42226,5,24,26,27,30
104191,42227,5,7,9,13,35
104192,42228,9,11,23,26,32
104193,42229,8,12,13,31,38
104194,42230,4,6,16,17,33
104195,42231,3,10,15,19,31
104196,42233,6,15,28,30,31
104197,42234,4,13,17,30,34
104198,42235,1,4,35,36,39
104199,42236,3,12,15,24,25
104200,42237,17,19,25,28,38
104201,42238,5,11,22,25,28
104202,42240,8,22,25,28,33
104203,42241,4,6,7,30,35
104204,42242,10,17,22,24,30
104205,42243,10,20,22,30,33
104206,42244,4,6,18,20,29
104207,42245,6,26,27,29,36
104208,42247,2,11,33,34,36
104209,42248,17,23,28,29,31
104210,42249,2,12,27,28,31
104211,42250,2,4,6,14,18
104212,42251,7,12,13,24,32
104213,42252,15,16,19,23,36
104214,42254,20,21,23,25,36
104215,42255,8,13,18,34,39
104216,42256,8,13,21,24,38
104217,42257,6,13,18,34,39
104218,42258,3,13,27,34,39
104219,42259,1,10,28,30,34
104220,42261,1,5,7,14,24
104221,42262,2,8,22,25,36
104222,42263,2,3,25,26,39
104223,42264,9,18,25,27,38
104224,42265,1,2,23,27,30
104225,42266,6,18,22,33,37
104226,42268,1,10,18,27,31
104227,42269,2,4,11,22,30
104228,42270,8,9,16,31,33
104229,42271,4,15,18,37,39
104230,42272,2,21,23,35,37
104231,42273,3,8,29,33,38
104232,42275,1,3,25,29,32
104233,42276,5,12,15,29,32
104234,42277,9,19,21,22,36
104235,42278,2,7,19,21,39
104236,42279,1,4,13,20,35
104237,42280,2,13,25,26,31
104238,42282,7,8,14,17,34
104239,42283,3,14,17,19,24
104240,42284,7,11,28,36,38
104241,42285,10,15,33,34,39
104242,42286,7,10,12,26,39
104243,42287,19,27,28,30,39
104244,42289,10,20,25,37,39
104245,42290,8,14,22,31,39
104246,42291,2,4,10,22,36
104247,42292,10,12,20,23,31
104248,42293,22,31,32,33,39
104249,42294,3,19,25,37,39
104250,42296,10,22,24,34,37
104251,42297,1,7,23,25,28
104252,42298,1,6,19,23,25
104253,42299,14,15,22,30,33
104254,42300,8,11,19,23,39
104255,42301,6,15,18,21,37
104256,42303,1,6,15,16,36
104257,42304,9,13,21,28,32
104258,42305,8,12,14,21,39
104259,42306,7,20,24,26,27
104260,42307,4,25,28,29,35
104261,42308,1,4,9,16,31
104262,42310,3,7,22,33,34
104263,42311,4,27,37,38,39
104264,42312,18,19,25,31,37
104265,42313,6,11,23,32,38
104266,42314,3,18,22,27,35
104267,42315,3,13,14,25,37
104268,42317,1,11,17,20,38
104269,42318,2,3,11,31,39
104270,42319,1,6,15,22,33
104271,42320,8,10,11,13,21
104272,42321,9,11,13,26,30
104273,42322,1,5,7,21,29
104274,42324,1,8,15,25,31
104275,42325,10,11,13,23,25
104276,42326,2,11,12,16,31
104277,42327,8,13,27,33,39
104278,42328,3,4,17,32,34
104279,42329,9,12,15,22,35
104280,42331,4,13,22,25,34
104281,42332,3,9,10,35,37
104282,42333,2,6,9,19,22
104283,42334,2,3,10,20,27
104284,42335,13,20,21,30,39
104285,42336,3,10,12,28,37
104286,42338,6,13,15,19,34
104287,42339,4,14,19,20,23
104288,42340,6,8,16,33,37
104289,42341,5,10,12,21,24
104290,42342,6,10,19,28,34
104291,42343,11,12,14,36,38
104292,42345,10,21,30,34,38
104293,42346,14,24,27,36,39
104294,42347,2,16,21,22,23
104295,42348,5,8,32,36,38
104296,42349,10,23,24,26,37
104297,42350,4,7,8,28,39
104298,42352,1,5,17,26,34
104299,42353,7,28,30,36,38
104300,42354,13,18,21,30,36
104301,42355,1,15,26,34,37
104302,42356,4,7,18,30,34
104303,42357,1,13,20,22,32
104304,42359,7,10,14,15,23
104305,42360,4,8,16,31,34
104306,42361,1,3,11,23,39
104307,42362,9,14,21,26,28
104308,42363,16,22,26,30,32
104309,42364,1,8,19,20,24
104310,42366,3,5,23,34,37
104311,42367,10,17,22,38,39
104312,42368,9,14,26,34,35
104313,42369,7,18,22,35,38
105001,42370,1,2,14,15,16
105002,42371,9,17,25,28,29
105003,42373,3,6,7,12,15
105004,42374,19,20,24,36,37
105005,42375,3,5,25,31,36
105006,42376,2,4,8,9,23
105007,42377,6,10,25,28,31
105008,42378,5,7,16,18,29
105009,42380,9,14,24,25,38
105010,42381,4,17,23,31,39
