´Á¦¸,¶}¼ú¤é´Á,¤Ñ¤z,¦a¤ä,¸`®ð,²y1,²y2,²y3,²y4,²y5,²y6
95001,2006/1/2,,,,6,15,22,25,35,41
95002,2006/1/5,,,,18,23,26,38,39,48
95003,2006/1/9,,,,8,20,22,39,45,46
95004,2006/1/12,,,,7,11,22,24,28,30
95005,2006/1/16,,,,4,12,15,19,26,31
95006,2006/1/19,,,,3,11,18,20,21,26
95007,2006/1/23,,,,1,11,16,21,23,40
95008,2006/1/26,,,,10,29,30,32,43,47
95009,2006/1/30,,,,4,5,13,26,32,42
95010,2006/2/2,,,,2,8,12,20,26,33
95011,2006/2/6,,,,11,15,18,25,29,49
95012,2006/2/9,,,,12,21,34,37,38,39
95013,2006/2/13,,,,3,15,21,23,36,49
95014,2006/2/16,,,,5,6,18,23,26,29
95015,2006/2/20,,,,2,14,18,21,37,43
95016,2006/2/23,,,,7,12,16,17,19,33
95017,2006/2/27,,,,9,17,18,27,36,42
95018,2006/3/2,,,,5,8,24,31,32,39
95019,2006/3/6,,,,5,7,9,15,31,34
95020,2006/3/9,,,,6,13,15,17,18,22
95021,2006/3/13,,,,4,21,25,35,39,42
95022,2006/3/16,,,,3,9,18,42,45,46
95023,2006/3/20,,,,12,28,30,40,47,49
95024,2006/3/23,,,,7,23,28,29,38,46
95025,2006/3/28,,,,5,8,9,15,29,45
95026,2006/3/30,,,,12,17,26,31,35,48
95027,2006/4/4,,,,6,10,11,32,34,39
95028,2006/4/6,,,,5,23,36,38,40,42
95029,2006/4/11,,,,8,10,16,22,37,38
95030,2006/4/13,,,,1,23,25,37,39,45
95031,2006/4/18,,,,4,6,14,16,20,41
95032,2006/4/20,,,,9,13,15,27,34,42
95033,2006/4/25,,,,3,9,19,40,44,49
95034,2006/4/27,,,,9,12,30,33,42,49
95035,2006/5/2,,,,3,16,24,25,40,43
95036,2006/5/4,,,,2,3,19,26,27,41
95037,2006/5/9,,,,5,8,18,26,38,42
95038,2006/5/11,,,,2,12,19,26,34,46
95039,2006/5/16,,,,8,20,35,36,45,46
95040,2006/5/18,,,,1,23,28,46,47,49
