´Á¸¹,¶}¼ú¤é´Á,¶g,¤Ñ¤z,¦a¤ä,¸`®ð,²y¸¹,³æÂù,©M­È,§¡­È,¦P§À
096001,2007/1/1,,,,,09,11,27,28,38
096002,2007/1/2,,,,,02,12,33,36,37
096003,2007/1/3,,,,,22,23,27,29,30
096004,2007/1/4,,,,,03,09,23,32,39
096005,2007/1/5,,,,,09,12,13,15,26
096006,2007/1/8,,,,,08,11,13,24,39
096007,2007/1/9,,,,,05,08,14,17,28
096008,2007/1/10,,,,,05,30,34,35,38
096009,2007/1/11,,,,,07,15,18,20,37
096010,2007/1/12,,,,,06,21,23,26,33
096011,2007/1/15,,,,,01,13,15,20,25
096012,2007/1/16,,,,,06,13,27,31,32
096013,2007/1/17,,,,,11,25,26,27,30
096014,2007/1/18,,,,,10,15,20,22,28
096015,2007/1/19,,,,,10,11,17,21,38
096016,2007/1/22,,,,,10,13,15,28,39
096017,2007/1/23,,,,,07,17,24,30,39
096018,2007/1/24,,,,,03,04,15,23,34
096019,2007/1/25,,,,,08,10,14,21,24
096020,2007/1/26,,,,,06,08,10,36,37
096021,2007/1/29,,,,,03,08,11,17,38
096022,2007/1/30,,,,,05,10,12,15,27
096023,2007/1/31,,,,,03,04,15,29,34
096024,2007/2/1,,,,,13,18,25,26,36
096025,2007/2/2,,,,,06,11,12,15,35
096026,2007/2/5,,,,,03,16,19,20,31
096027,2007/2/6,,,,,02,13,14,29,39
096028,2007/2/7,,,,,07,11,23,32,35
096029,2007/2/8,,,,,05,10,31,37,39
096030,2007/2/9,,,,,07,16,20,25,27
096031,2007/2/12,,,,,13,15,16,23,34
096032,2007/2/13,,,,,02,22,28,29,34
096033,2007/2/14,,,,,01,15,20,23,28
096034,2007/2/15,,,,,06,24,27,28,33
096035,2007/2/16,,,,,24,28,29,32,37
096036,2007/2/19,,,,,09,12,24,34,37
096037,2007/2/20,,,,,04,06,17,31,36
096038,2007/2/21,,,,,08,18,20,32,34
096039,2007/2/22,,,,,09,17,20,21,37
096040,2007/2/23,,,,,09,12,16,19,25
096041,2007/2/26,,,,,06,20,23,25,28
096042,2007/2/27,,,,,09,12,19,23,34
096043,2007/2/28,,,,,09,11,21,22,38
096044,2007/3/1,,,,,02,03,12,18,31
096045,2007/3/2,,,,,07,22,23,33,37
096046,2007/3/5,,,,,05,11,19,21,25
096047,2007/3/6,,,,,12,16,17,19,34
096048,2007/3/7,,,,,02,12,19,30,34
096049,2007/3/8,,,,,07,11,20,31,34
096050,2007/3/9,,,,,02,17,30,31,38
096051,2007/3/12,,,,,08,15,25,27,38
096052,2007/3/13,,,,,06,09,16,18,22
096053,2007/3/14,,,,,06,09,16,37,39
096054,2007/3/15,,,,,01,07,21,27,33
096055,2007/3/16,,,,,01,02,18,26,38
096056,2007/3/19,,,,,05,20,24,28,39
096057,2007/3/20,,,,,02,10,14,18,22
096058,2007/3/21,,,,,06,14,34,37,38
096059,2007/3/22,,,,,07,25,26,34,36
096060,2007/3/23,,,,,12,19,20,29,32
096061,2007/3/26,,,,,26,27,32,33,36
096062,2007/3/27,,,,,11,20,36,37,38
096063,2007/3/28,,,,,09,25,28,34,37
096064,2007/3/29,,,,,08,22,23,27,29
096065,2007/3/30,,,,,06,19,22,33,37
096066,2007/4/2,,,,,01,07,21,33,35
096067,2007/4/3,,,,,10,11,13,29,31
096068,2007/4/4,,,,,01,19,30,34,35
096069,2007/4/5,,,,,07,21,22,23,36
096070,2007/4/6,,,,,04,07,12,33,34
096071,2007/4/9,,,,,11,30,32,34,39
096072,2007/4/10,,,,,06,08,09,30,39
096073,2007/4/11,,,,,25,26,31,37,39
096074,2007/4/12,,,,,01,09,11,17,25
096075,2007/4/13,,,,,22,24,27,32,37
096076,2007/4/16,,,,,14,18,26,28,36
096077,2007/4/17,,,,,02,11,24,31,32
096078,2007/4/18,,,,,03,12,22,38,39
096079,2007/4/19,,,,,01,14,20,22,36
096080,2007/4/20,,,,,03,06,22,37,39
096081,2007/4/23,,,,,02,07,10,13,30
096082,2007/4/24,,,,,01,04,06,09,16
096083,2007/4/25,,,,,13,15,19,29,37
096084,2007/4/26,,,,,05,07,15,32,39
096085,2007/4/27,,,,,08,10,21,23,39
096086,2007/4/30,,,,,04,07,12,17,29
096087,2007/5/1,,,,,01,10,22,34,39
096088,2007/5/2,,,,,04,23,34,37,39
096089,2007/5/3,,,,,01,05,18,25,37
096090,2007/5/4,,,,,07,08,09,12,14
096091,2007/5/7,,,,,04,09,18,27,28
096092,2007/5/8,,,,,02,10,18,23,33
096093,2007/5/9,,,,,03,15,30,35,36
096094,2007/5/10,,,,,14,19,22,25,35
096095,2007/5/11,,,,,15,18,19,21,24
096096,2007/5/14,,,,,02,09,10,14,39
096097,2007/5/15,,,,,05,08,11,23,38
096098,2007/5/16,,,,,01,11,18,21,24
096099,2007/5/17,,,,,04,05,06,13,33
096100,2007/5/18,,,,,06,11,15,37,39
096101,2007/5/21,,,,,08,15,20,23,25
096102,2007/5/22,,,,,01,13,18,31,32
096103,2007/5/23,,,,,04,08,21,29,32
096104,2007/5/24,,,,,07,08,13,30,35
096105,2007/5/25,,,,,04,13,19,23,35
096106,2007/5/28,,,,,04,05,10,17,37
096107,2007/5/29,,,,,10,14,15,29,35
096108,2007/5/30,,,,,05,20,33,38,39
096109,2007/5/31,,,,,21,28,33,35,38
096110,2007/6/1,,,,,01,03,07,13,28
096111,2007/6/4,,,,,04,07,13,32,36
096112,2007/6/5,,,,,06,08,18,25,35
096113,2007/6/6,,,,,07,20,21,28,33
096114,2007/6/7,,,,,01,07,18,19,21
096115,2007/6/8,,,,,01,07,10,16,37
096116,2007/6/11,,,,,07,14,27,29,30
096117,2007/6/12,,,,,05,15,23,27,34
096118,2007/6/13,,,,,01,02,03,20,25
096119,2007/6/14,,,,,06,10,12,26,39
096120,2007/6/15,,,,,02,12,23,25,27
096121,2007/6/18,,,,,02,03,05,12,16
096122,2007/6/19,,,,,01,06,08,10,28
096123,2007/6/20,,,,,07,11,12,23,38
096124,2007/6/21,,,,,18,19,28,35,39
096125,2007/6/22,,,,,09,11,20,22,25
096126,2007/6/25,,,,,20,22,23,24,34
096127,2007/6/26,,,,,01,04,15,25,33
096128,2007/6/27,,,,,03,06,14,20,21
096129,2007/6/28,,,,,01,19,22,35,36
096130,2007/6/29,,,,,25,31,33,34,37
096131,2007/7/2,,,,,03,13,21,28,32
096132,2007/7/3,,,,,15,17,23,25,38
096133,2007/7/4,,,,,10,17,18,19,29
096134,2007/7/5,,,,,01,02,11,23,37
096135,2007/7/6,,,,,06,31,34,35,39
096136,2007/7/9,,,,,08,12,24,34,35
096137,2007/7/10,,,,,01,08,12,19,29
096138,2007/7/11,,,,,05,14,19,20,29
096139,2007/7/12,,,,,08,13,21,27,32
096140,2007/7/13,,,,,01,03,20,26,31
096141,2007/7/16,,,,,15,16,22,35,39
096142,2007/7/17,,,,,05,17,23,27,30
096143,2007/7/18,,,,,03,21,24,33,34
096144,2007/7/19,,,,,01,06,19,24,37
096145,2007/7/20,,,,,17,25,34,35,38
096146,2007/7/23,,,,,03,11,15,20,36
096147,2007/7/24,,,,,05,12,19,28,34
096148,2007/7/25,,,,,01,09,10,19,21
096149,2007/7/26,,,,,07,20,24,33,34
096150,2007/7/27,,,,,08,11,12,18,21
096151,2007/7/30,,,,,04,08,12,15,20
096152,2007/7/31,,,,,07,14,17,37,39
096153,2007/8/1,,,,,04,09,28,32,36
096154,2007/8/2,,,,,09,15,21,35,39
096155,2007/8/3,,,,,04,08,12,13,32
096156,2007/8/6,,,,,02,08,13,33,36
096157,2007/8/7,,,,,09,10,23,31,36
096158,2007/8/8,,,,,07,11,12,27,29
096159,2007/8/9,,,,,02,09,22,24,38
096160,2007/8/10,,,,,13,16,17,26,33
096161,2007/8/13,,,,,01,15,24,29,31
096162,2007/8/14,,,,,04,15,25,26,36
096163,2007/8/15,,,,,05,12,28,30,32
096164,2007/8/16,,,,,07,14,29,30,35
096165,2007/8/17,,,,,05,16,23,30,35
096166,2007/8/20,,,,,04,17,23,26,28
096167,2007/8/21,,,,,01,07,19,26,29
096168,2007/8/22,,,,,03,17,22,31,34
096169,2007/8/23,,,,,04,07,16,20,28
096170,2007/8/24,,,,,02,07,12,16,39
096171,2007/8/27,,,,,10,12,19,23,36
096172,2007/8/28,,,,,04,07,14,29,36
096173,2007/8/29,,,,,15,18,25,32,34
096174,2007/8/30,,,,,07,14,25,28,37
096175,2007/8/31,,,,,14,20,22,27,29
096176,2007/9/3,,,,,12,18,24,27,33
096177,2007/9/4,,,,,05,07,18,24,35
096178,2007/9/5,,,,,01,28,31,34,38
096179,2007/9/6,,,,,08,19,28,31,33
096180,2007/9/7,,,,,02,19,23,30,37
096181,2007/9/10,,,,,13,19,28,32,37
096182,2007/9/11,,,,,04,21,27,35,38
096183,2007/9/12,,,,,07,10,17,23,35
096184,2007/9/13,,,,,01,03,10,15,26
096185,2007/9/14,,,,,11,23,24,36,39
096186,2007/9/17,,,,,16,24,25,26,30
096187,2007/9/18,,,,,01,11,13,24,27
096188,2007/9/19,,,,,04,06,17,24,37
096189,2007/9/20,,,,,07,13,20,25,26
096190,2007/9/21,,,,,12,17,24,34,38
096191,2007/9/24,,,,,02,03,31,36,37
096192,2007/9/25,,,,,01,17,19,27,36
096193,2007/9/26,,,,,08,31,32,33,37
096194,2007/9/27,,,,,06,11,12,16,33
096195,2007/9/28,,,,,04,09,17,26,37
096196,2007/10/1,,,,,02,28,31,33,35
096197,2007/10/2,,,,,01,08,22,23,26
096198,2007/10/3,,,,,01,05,08,12,24
096199,2007/10/4,,,,,02,06,24,35,36
096200,2007/10/5,,,,,08,11,25,34,39
096201,2007/10/8,,,,,14,16,19,21,34
096202,2007/10/9,,,,,05,07,12,22,26
096203,2007/10/10,,,,,01,08,22,24,27
096204,2007/10/11,,,,,04,18,23,26,36
096205,2007/10/12,,,,,01,12,13,17,23
096206,2007/10/15,,,,,09,10,17,18,31
096207,2007/10/16,,,,,11,15,20,22,34
096208,2007/10/17,,,,,03,07,18,19,23
096209,2007/10/18,,,,,11,13,21,22,31
096210,2007/10/19,,,,,07,22,27,29,32
096211,2007/10/22,,,,,01,13,18,23,33
096212,2007/10/23,,,,,03,04,09,22,39
096213,2007/10/24,,,,,01,03,17,29,31
096214,2007/10/25,,,,,09,11,16,20,31
096215,2007/10/26,,,,,17,19,23,29,37
096216,2007/10/29,,,,,03,04,17,32,39
096217,2007/10/30,,,,,03,04,06,22,27
096218,2007/10/31,,,,,15,23,28,35,36
096219,2007/11/1,,,,,09,12,14,22,30
096220,2007/11/2,,,,,01,04,05,30,31
096221,2007/11/5,,,,,12,26,28,31,38
096222,2007/11/6,,,,,09,26,32,33,37
096223,2007/11/7,,,,,06,12,20,21,30
096224,2007/11/8,,,,,23,24,25,29,36
096225,2007/11/9,,,,,02,12,18,28,36
096226,2007/11/12,,,,,30,33,34,36,37
096227,2007/11/13,,,,,05,06,16,18,29
096228,2007/11/14,,,,,02,09,24,31,39
096229,2007/11/15,,,,,06,21,29,35,37
096230,2007/11/16,,,,,01,05,10,19,32
096231,2007/11/19,,,,,10,17,19,20,25
096232,2007/11/20,,,,,07,25,32,34,36
096233,2007/11/21,,,,,06,10,17,20,38
096234,2007/11/22,,,,,04,12,15,30,38
096235,2007/11/23,,,,,07,13,16,24,31
096236,2007/11/26,,,,,05,12,19,29,30
096237,2007/11/27,,,,,05,11,12,19,34
096238,2007/11/28,,,,,01,06,11,14,28
096239,2007/11/29,,,,,12,15,24,29,38
096240,2007/11/30,,,,,03,09,27,32,35
096241,2007/12/3,,,,,03,11,24,28,31
096242,2007/12/4,,,,,11,15,32,36,39
096243,2007/12/5,,,,,03,08,09,11,36
096244,2007/12/6,,,,,11,14,29,32,39
096245,2007/12/7,,,,,15,16,22,24,28
096246,2007/12/10,,,,,02,07,18,19,38
096247,2007/12/11,,,,,15,20,21,24,35
096248,2007/12/12,,,,,10,19,27,36,38
096249,2007/12/13,,,,,07,13,22,26,32
096250,2007/12/14,,,,,02,14,15,28,37
096251,2007/12/17,,,,,02,08,13,24,26
096252,2007/12/18,,,,,07,21,24,30,36
096253,2007/12/19,,,,,06,07,13,27,39
096254,2007/12/20,,,,,13,16,24,29,30
096255,2007/12/21,,,,,01,02,30,37,38
096256,2007/12/24,,,,,19,31,34,36,37
096257,2007/12/25,,,,,02,04,13,22,28
096258,2007/12/26,,,,,01,11,18,20,33
096259,2007/12/27,,,,,01,03,04,19,26
096260,2007/12/28,,,,,01,02,14,22,30
096261,2007/12/31,,,,,11,12,20,25,37
097001,2008/1/1,,,,,11,26,31,35,37
097002,2008/1/2,,,,,02,09,10,24,30
097003,2008/1/3,,,,,18,28,32,33,38
097004,2008/1/4,,,,,07,17,20,28,36
097005,2008/1/7,,,,,02,11,18,19,21
097006,2008/1/8,,,,,01,12,19,20,35
097007,2008/1/9,,,,,04,09,16,19,29
097008,2008/1/10,,,,,01,08,11,22,39
097009,2008/1/11,,,,,04,08,27,30,32
097010,2008/1/14,,,,,04,19,34,35,38
097011,2008/1/15,,,,,05,11,16,21,26
097012,2008/1/16,,,,,09,10,11,23,30
097013,2008/1/17,,,,,02,20,35,37,38
097014,2008/1/18,,,,,05,15,31,32,36
097015,2008/1/21,,,,,01,11,23,26,29
097016,2008/1/22,,,,,01,04,07,17,23
097017,2008/1/23,,,,,01,03,04,11,28
097018,2008/1/24,,,,,01,08,12,26,37
097019,2008/1/25,,,,,02,08,15,17,20
097020,2008/1/28,,,,,02,13,28,32,36
097021,2008/1/29,,,,,01,04,09,10,29
097022,2008/1/30,,,,,01,16,17,28,37
097023,2008/1/31,,,,,01,02,17,24,35
097024,2008/2/1,,,,,03,10,23,34,37
097025,2008/2/4,,,,,03,12,23,26,34
097026,2008/2/5,,,,,01,04,10,18,31
097027,2008/2/6,,,,,04,17,18,29,33
097028,2008/2/7,,,,,06,30,32,33,34
097029,2008/2/8,,,,,03,10,11,34,38
097030,2008/2/11,,,,,13,18,25,37,38
097031,2008/2/12,,,,,01,10,12,28,38
097032,2008/2/13,,,,,14,28,34,36,37
097033,2008/2/14,,,,,03,04,10,36,39
097034,2008/2/15,,,,,01,24,26,27,39
097035,2008/2/18,,,,,05,14,17,18,21
097036,2008/2/19,,,,,11,16,24,30,35
097037,2008/2/20,,,,,11,20,27,30,33
097038,2008/2/21,,,,,06,10,22,31,37
097039,2008/2/22,,,,,09,22,23,26,32
097040,2008/2/25,,,,,01,04,18,23,31
097041,2008/2/26,,,,,28,30,32,36,37
097042,2008/2/27,,,,,01,06,33,34,35
097043,2008/2/28,,,,,01,03,09,20,22
097044,2008/2/29,,,,,08,25,27,34,38
097045,2008/3/3,,,,,04,05,10,13,22
097046,2008/3/4,,,,,05,11,12,19,21
097047,2008/3/5,,,,,02,10,13,14,15
097048,2008/3/6,,,,,03,09,15,17,21
097049,2008/3/7,,,,,06,07,15,36,39
097050,2008/3/10,,,,,13,16,17,29,31
097051,2008/3/11,,,,,04,10,16,17,22
097052,2008/3/12,,,,,09,24,27,36,37
097053,2008/3/13,,,,,01,11,19,21,33
097054,2008/3/14,,,,,02,06,16,26,28
097055,2008/3/17,,,,,02,11,16,20,37
097056,2008/3/18,,,,,10,16,20,31,32
097057,2008/3/19,,,,,01,14,19,21,33
097058,2008/3/20,,,,,03,06,20,22,29
097059,2008/3/21,,,,,04,10,19,20,30
097060,2008/3/24,,,,,02,05,26,29,30
097061,2008/3/25,,,,,01,03,08,30,36
097062,2008/3/26,,,,,09,12,13,15,31
097063,2008/3/27,,,,,14,20,26,29,37
097064,2008/3/28,,,,,07,14,31,35,39
097065,2008/3/31,,,,,09,16,30,32,38
097066,2008/4/1,,,,,06,12,16,18,35
097067,2008/4/2,,,,,04,10,14,24,26
097068,2008/4/3,,,,,02,18,21,24,36
097069,2008/4/4,,,,,10,17,21,32,35
097070,2008/4/7,,,,,06,07,16,22,24
097071,2008/4/8,,,,,07,10,15,37,38
097072,2008/4/9,,,,,09,13,15,21,28
097073,2008/4/10,,,,,05,08,09,17,24
097074,2008/4/11,,,,,05,16,30,34,37
097075,2008/4/14,,,,,02,10,17,18,21
097076,2008/4/15,,,,,06,18,25,26,31
097077,2008/4/16,,,,,07,18,20,22,33
097078,2008/4/17,,,,,05,19,22,28,29
097079,2008/4/18,,,,,11,12,20,32,35
097080,2008/4/21,,,,,08,15,22,24,33
097081,2008/4/22,,,,,03,10,12,19,24
097082,2008/4/23,,,,,04,05,07,09,21
097083,2008/4/24,,,,,03,14,25,33,38
097084,2008/4/25,,,,,04,07,11,19,24
097085,2008/4/28,,,,,02,15,17,19,21
097086,2008/4/29,,,,,04,07,08,11,29
097087,2008/4/30,,,,,10,25,27,30,39
097088,2008/5/1,,,,,05,17,20,25,34
097089,2008/5/2,,,,,01,13,15,16,30
097090,2008/5/5,,,,,16,19,27,29,33
097091,2008/5/6,,,,,08,16,17,33,38
097092,2008/5/7,,,,,04,18,19,27,35
097093,2008/5/8,,,,,23,27,33,35,39
097094,2008/5/9,,,,,05,24,26,32,34
097095,2008/5/12,,,,,05,09,18,31,35
097096,2008/5/13,,,,,06,21,29,31,36
097097,2008/5/14,,,,,04,28,31,36,37
097098,2008/5/15,,,,,11,18,21,27,38
097099,2008/5/16,,,,,13,18,20,21,23
097100,2008/5/19,,,,,10,11,28,31,34
097101,2008/5/20,,,,,04,18,24,28,38
097102,2008/5/21,,,,,08,12,20,34,35
097103,2008/5/22,,,,,11,21,25,31,38
097104,2008/5/23,,,,,08,11,33,34,35
097105,2008/5/26,,,,,02,03,17,23,30
097106,2008/5/27,,,,,30,31,32,33,38
097107,2008/5/28,,,,,01,03,30,31,39
097108,2008/5/29,,,,,06,14,21,23,34
097109,2008/5/30,,,,,16,23,25,30,33
097110,2008/6/2,,,,,02,06,08,29,32
097111,2008/6/3,,,,,06,09,19,33,35
097112,2008/6/4,,,,,19,20,27,29,33
097113,2008/6/5,,,,,04,17,23,27,29
097114,2008/6/6,,,,,07,11,20,28,31
097115,2008/6/9,,,,,07,16,20,27,35
097116,2008/6/10,,,,,03,09,25,26,35
097117,2008/6/11,,,,,07,11,14,19,20
097118,2008/6/12,,,,,12,17,29,35,39
097119,2008/6/13,,,,,01,04,09,33,38
097120,2008/6/16,,,,,21,25,28,30,33
097121,2008/6/17,,,,,01,04,10,16,37
097122,2008/6/18,,,,,05,16,18,19,30
097123,2008/6/19,,,,,04,06,11,18,29
097124,2008/6/20,,,,,05,06,12,17,23
097125,2008/6/23,,,,,14,17,18,24,29
097126,2008/6/24,,,,,05,07,13,27,35
097127,2008/6/25,,,,,06,07,18,28,34
097128,2008/6/26,,,,,01,09,17,22,24
097129,2008/6/27,,,,,06,12,19,22,34
097130,2008/6/30,,,,,05,20,31,36,37
097131,2008/7/1,,,,,06,09,10,35,36
097132,2008/7/2,,,,,10,14,27,33,39
097133,2008/7/3,,,,,01,04,16,18,37
097134,2008/7/4,,,,,20,25,31,33,39
097135,2008/7/7,,,,,09,16,20,37,38
097136,2008/7/8,,,,,03,05,08,20,23
097137,2008/7/9,,,,,01,11,17,21,34
097138,2008/7/10,,,,,13,16,22,26,34
097139,2008/7/11,,,,,05,10,12,30,34
097140,2008/7/14,,,,,02,09,32,33,37
097141,2008/7/15,,,,,02,20,25,27,28
097142,2008/7/16,,,,,03,08,16,17,30
097143,2008/7/17,,,,,02,08,20,25,27
097144,2008/7/18,,,,,09,13,19,23,39
097145,2008/7/21,,,,,05,10,17,19,23
097146,2008/7/22,,,,,05,06,19,21,28
097147,2008/7/23,,,,,04,18,22,26,30
097148,2008/7/24,,,,,01,08,11,13,38
097149,2008/7/25,,,,,08,17,26,28,32
097150,2008/7/28,,,,,15,22,24,26,36
097151,2008/7/29,,,,,06,12,13,32,38
097152,2008/7/30,,,,,06,10,17,28,34
097153,2008/7/31,,,,,03,20,24,31,39
097154,2008/8/1,,,,,01,10,23,29,36
097155,2008/8/4,,,,,09,11,14,17,25
097156,2008/8/5,,,,,03,10,13,20,33
097157,2008/8/6,,,,,22,27,30,33,38
097158,2008/8/7,,,,,08,11,15,25,26
097159,2008/8/8,,,,,01,06,14,17,31
097160,2008/8/11,,,,,04,06,10,14,36
097161,2008/8/12,,,,,03,05,09,28,33
097162,2008/8/13,,,,,03,08,29,32,34
097163,2008/8/14,,,,,18,22,25,28,39
097164,2008/8/15,,,,,04,07,23,34,38
097165,2008/8/18,,,,,02,04,23,27,32
097166,2008/8/19,,,,,08,14,20,31,37
097167,2008/8/20,,,,,17,30,31,35,37
097168,2008/8/21,,,,,12,13,23,28,37
097169,2008/8/22,,,,,01,03,09,10,20
097170,2008/8/25,,,,,11,20,21,24,35
097171,2008/8/26,,,,,04,06,11,28,30
097172,2008/8/27,,,,,01,02,13,18,38
097173,2008/8/28,,,,,01,16,31,33,37
097174,2008/8/29,,,,,11,14,21,28,38
097175,2008/9/1,,,,,15,26,27,28,37
097176,2008/9/2,,,,,04,06,20,21,35
097177,2008/9/3,,,,,01,05,28,32,33
097178,2008/9/4,,,,,03,13,30,37,39
097179,2008/9/5,,,,,04,15,20,31,34
097180,2008/9/8,,,,,01,10,18,31,37
097181,2008/9/9,,,,,08,24,28,38,39
097182,2008/9/10,,,,,02,16,28,32,33
097183,2008/9/11,,,,,10,12,29,34,35
097184,2008/9/12,,,,,03,06,10,12,26
097185,2008/9/15,,,,,02,11,16,26,37
097186,2008/9/16,,,,,04,10,14,17,25
097187,2008/9/17,,,,,08,16,33,36,37
097188,2008/9/18,,,,,15,25,27,34,35
097189,2008/9/19,,,,,02,13,17,23,27
097190,2008/9/22,,,,,10,15,16,25,33
097191,2008/9/23,,,,,09,24,25,30,34
097192,2008/9/24,,,,,06,18,19,27,30
097193,2008/9/25,,,,,01,13,16,23,32
097194,2008/9/26,,,,,05,12,27,34,39
097195,2008/9/29,,,,,04,13,19,22,37
097196,2008/9/30,,,,,02,03,15,19,32
097197,2008/10/1,,,,,13,15,23,25,34
097198,2008/10/2,,,,,03,04,12,19,35
097199,2008/10/3,,,,,07,21,23,27,36
097200,2008/10/6,,,,,05,12,16,24,32
097201,2008/10/7,,,,,10,18,19,23,30
097202,2008/10/8,,,,,02,15,32,34,37
097203,2008/10/9,,,,,01,04,19,20,37
097204,2008/10/10,,,,,01,06,08,25,36
097205,2008/10/13,,,,,06,10,11,13,14
097206,2008/10/14,,,,,02,14,15,35,38
097207,2008/10/15,,,,,03,04,08,23,26
097208,2008/10/16,,,,,10,14,23,32,38
097209,2008/10/17,,,,,03,04,06,30,38
097210,2008/10/20,,,,,03,04,05,24,31
097211,2008/10/21,,,,,08,14,21,25,28
097212,2008/10/22,,,,,09,11,16,21,33
097213,2008/10/23,,,,,08,34,36,37,39
097214,2008/10/24,,,,,05,21,24,32,38
097215,2008/10/27,,,,,03,18,31,32,33
097216,2008/10/28,,,,,03,04,15,28,38
097217,2008/10/29,,,,,17,18,19,26,30
097218,2008/10/30,,,,,05,09,17,26,32
097219,2008/10/31,,,,,05,29,31,35,38
097220,2008/11/3,,,,,11,23,27,33,36
097221,2008/11/4,,,,,05,09,10,15,25
097222,2008/11/5,,,,,01,24,31,34,37
097223,2008/11/6,,,,,01,08,12,13,35
097224,2008/11/7,,,,,03,05,07,22,28
097225,2008/11/10,,,,,04,19,26,30,31
097226,2008/11/11,,,,,08,23,32,33,39
097227,2008/11/12,,,,,05,11,24,28,31
097228,2008/11/13,,,,,08,23,25,26,34
097229,2008/11/14,,,,,04,05,12,13,29
097230,2008/11/17,,,,,17,19,30,31,36
097231,2008/11/18,,,,,07,08,18,22,24
097232,2008/11/19,,,,,29,30,31,33,34
097233,2008/11/20,,,,,02,21,28,38,39
097234,2008/11/21,,,,,05,10,14,23,27
097235,2008/11/24,,,,,01,02,24,25,34
097236,2008/11/25,,,,,05,12,15,18,29
097237,2008/11/26,,,,,04,18,24,26,30
097238,2008/11/27,,,,,08,14,21,28,36
097239,2008/11/28,,,,,14,15,16,18,39
097240,2008/12/1,,,,,05,07,10,19,36
097241,2008/12/2,,,,,06,09,15,17,31
097242,2008/12/3,,,,,08,09,19,28,32
097243,2008/12/4,,,,,17,19,21,38,39
097244,2008/12/5,,,,,05,07,31,36,38
097245,2008/12/8,,,,,13,27,35,37,38
097246,2008/12/9,,,,,02,26,28,31,35
097247,2008/12/10,,,,,14,20,22,27,30
097248,2008/12/11,,,,,01,04,10,14,17
097249,2008/12/12,,,,,10,14,23,25,32
097250,2008/12/15,,,,,02,05,33,36,39
097251,2008/12/16,,,,,12,16,18,25,28
097252,2008/12/17,,,,,05,08,11,14,22
097253,2008/12/18,,,,,14,16,28,35,37
097254,2008/12/19,,,,,08,12,18,24,28
097255,2008/12/22,,,,,05,06,20,31,37
097256,2008/12/23,,,,,03,11,20,25,37
097257,2008/12/24,,,,,02,15,25,36,37
097258,2008/12/25,,,,,08,18,32,37,38
097259,2008/12/26,,,,,11,12,25,26,35
097260,2008/12/29,,,,,09,20,22,34,36
097261,2008/12/30,,,,,03,08,13,19,37
097262,2008/12/31,,,,,08,12,36,37,39
098001,2009/1/1,,,,,06,11,14,17,32
098002,2009/1/2,,,,,12,20,30,38,39
098003,2009/1/5,,,,,02,03,21,24,29
098004,2009/1/6,,,,,02,09,10,11,37
098005,2009/1/7,,,,,12,20,26,33,39
098006,2009/1/8,,,,,27,28,32,34,35
098007,2009/1/9,,,,,01,07,11,15,30
098008,2009/1/12,,,,,10,15,20,22,36
098009,2009/1/13,,,,,02,11,21,30,34
098010,2009/1/14,,,,,04,14,25,34,38
098011,2009/1/15,,,,,14,17,29,35,36
098012,2009/1/16,,,,,08,09,25,28,35
098013,2009/1/19,,,,,03,18,24,31,36
098014,2009/1/20,,,,,05,08,26,32,38
098015,2009/1/21,,,,,02,03,09,24,35
098016,2009/1/22,,,,,04,05,21,25,35
098017,2009/1/23,,,,,02,14,21,33,39
098018,2009/1/26,,,,,02,07,14,31,39
098019,2009/1/27,,,,,02,06,09,21,36
098020,2009/1/28,,,,,05,08,09,26,29
098021,2009/1/29,,,,,04,09,16,26,31
098022,2009/1/30,,,,,16,19,30,31,38
098023,2009/2/2,,,,,08,18,23,27,37
098024,2009/2/3,,,,,05,18,30,31,39
098025,2009/2/4,,,,,05,19,22,30,33
098026,2009/2/5,,,,,04,07,16,19,25
098027,2009/2/6,,,,,07,12,20,37,39
098028,2009/2/9,,,,,06,12,15,21,23
098029,2009/2/10,,,,,20,21,24,26,30
098030,2009/2/11,,,,,05,17,18,23,37
098031,2009/2/12,,,,,05,06,24,32,36
098032,2009/2/13,,,,,04,05,29,32,38
098033,2009/2/16,,,,,03,06,23,24,35
098034,2009/2/17,,,,,01,09,18,25,36
098035,2009/2/18,,,,,01,10,19,22,34
098036,2009/2/19,,,,,07,09,15,23,31
098037,2009/2/20,,,,,02,05,19,22,24
098038,2009/2/23,,,,,15,22,32,33,39
098039,2009/2/24,,,,,03,06,11,20,30
098040,2009/2/25,,,,,16,22,24,28,36
098041,2009/2/26,,,,,02,05,06,27,35
098042,2009/2/27,,,,,01,09,13,18,25
098043,2009/3/2,,,,,03,15,24,30,33
098044,2009/3/3,,,,,01,11,19,21,22
098045,2009/3/4,,,,,05,10,29,30,36
098046,2009/3/5,,,,,01,25,29,31,38
098047,2009/3/6,,,,,06,08,09,19,38
098048,2009/3/9,,,,,10,21,24,33,36
098049,2009/3/10,,,,,04,07,09,34,38
098050,2009/3/11,,,,,12,19,32,36,39
098051,2009/3/12,,,,,12,31,32,36,37
098052,2009/3/13,,,,,03,04,13,25,36
098053,2009/3/16,,,,,01,04,11,29,38
098054,2009/3/17,,,,,05,07,13,35,37
098055,2009/3/18,,,,,04,27,32,35,38
098056,2009/3/19,,,,,02,30,31,33,39
